Date,Open,High,Low,Close,Volume,Adj Close
2014-06-04,1.3619,1.3619,1.3619,1.3619,0,0
2014-06-03,1.3624,1.3624,1.3624,1.3624,0,0
2014-06-02,1.3606,1.3606,1.3606,1.3606,0,0
2014-05-30,1.364,1.364,1.364,1.364,0,0
2014-05-29,1.3608,1.3608,1.3608,1.3608,0,0
2014-05-28,1.3596,1.3596,1.3596,1.3596,0,0
2014-05-27,1.3618,1.3618,1.3618,1.3618,0,0
2014-05-23,1.3628,1.3628,1.3628,1.3628,0,0
2014-05-22,1.3652,1.3652,1.3652,1.3652,0,0
2014-05-21,1.3657,1.3657,1.3657,1.3657,0,0
2014-05-20,1.3702,1.3702,1.3702,1.3702,0,0
2014-05-19,1.3716,1.3716,1.3716,1.3716,0,0
2014-05-16,1.3708,1.3708,1.3708,1.3708,0,0
2014-05-15,1.3712,1.3712,1.3712,1.3712,0,0
2014-05-14,1.3718,1.3718,1.3718,1.3718,0,0
2014-05-13,1.3711,1.3711,1.3711,1.3711,0,0
2014-05-12,1.376,1.376,1.376,1.376,0,0
2014-05-09,1.3763,1.3763,1.3763,1.3763,0,0
2014-05-08,1.3864,1.3864,1.3864,1.3864,0,0
2014-05-07,1.3917,1.3917,1.3917,1.3917,0,0
2014-05-06,1.3924,1.3924,1.3924,1.3924,0,0
2014-05-05,1.3884,1.3884,1.3884,1.3884,0,0
2014-05-02,1.3864,1.3864,1.3864,1.3864,0,0
2014-05-01,1.3867,1.3867,1.3867,1.3867,0,0
2014-04-30,1.387,1.387,1.387,1.387,0,0
2014-04-29,1.3808,1.3808,1.3808,1.3808,0,0
2014-04-28,1.3844,1.3844,1.3844,1.3844,0,0
2014-04-24,1.3828,1.3828,1.3828,1.3828,0,0
2014-04-23,1.3814,1.3814,1.3814,1.3814,0,0
2014-04-22,1.3804,1.3804,1.3804,1.3804,0,0
2014-04-17,1.3832,1.3832,1.3832,1.3832,0,0
2014-04-16,1.382,1.382,1.382,1.382,0,0
2014-04-15,1.3806,1.3806,1.3806,1.3806,0,0
2014-04-14,1.3824,1.3824,1.3824,1.3824,0,0
2014-04-11,1.3898,1.3898,1.3898,1.3898,0,0
2014-04-10,1.3892,1.3892,1.3892,1.3892,0,0
2014-04-09,1.3816,1.3816,1.3816,1.3816,0,0
2014-04-08,1.3802,1.3802,1.3802,1.3802,0,0
2014-04-07,1.3745,1.3745,1.3745,1.3745,0,0
2014-04-04,1.3704,1.3704,1.3704,1.3704,0,0
2014-04-03,1.3708,1.3708,1.3708,1.3708,0,0
2014-04-02,1.3761,1.3761,1.3761,1.3761,0,0
2014-04-01,1.3804,1.3804,1.3804,1.3804,0,0
2014-03-31,1.3777,1.3777,1.3777,1.3777,0,0
2014-03-28,1.3753,1.3753,1.3753,1.3753,0,0
2014-03-27,1.3752,1.3752,1.3752,1.3752,0,0
2014-03-26,1.3786,1.3786,1.3786,1.3786,0,0
2014-03-25,1.3777,1.3777,1.3777,1.3777,0,0
2014-03-24,1.3784,1.3784,1.3784,1.3784,0,0
2014-03-21,1.3783,1.3783,1.3783,1.3783,0,0
2014-03-20,1.3784,1.3784,1.3784,1.3784,0,0
2014-03-19,1.391,1.391,1.391,1.391,0,0
2014-03-18,1.3913,1.3913,1.3913,1.3913,0,0
2014-03-17,1.3927,1.3927,1.3927,1.3927,0,0
2014-03-14,1.3924,1.3924,1.3924,1.3924,0,0
2014-03-13,1.3927,1.3927,1.3927,1.3927,0,0
2014-03-12,1.3904,1.3904,1.3904,1.3904,0,0
2014-03-11,1.3867,1.3867,1.3867,1.3867,0,0
2014-03-10,1.388,1.388,1.388,1.388,0,0
2014-03-07,1.3868,1.3868,1.3868,1.3868,0,0
2014-03-06,1.3848,1.3848,1.3848,1.3848,0,0
2014-03-05,1.3734,1.3734,1.3734,1.3734,0,0
2014-03-04,1.3731,1.3731,1.3731,1.3731,0,0
2014-03-03,1.3763,1.3763,1.3763,1.3763,0,0
2014-02-28,1.3806,1.3806,1.3806,1.3806,0,0
2014-02-27,1.3724,1.3724,1.3724,1.3724,0,0
2014-02-26,1.3668,1.3668,1.3668,1.3668,0,0
2014-02-25,1.3749,1.3749,1.3749,1.3749,0,0
2014-02-24,1.3744,1.3744,1.3744,1.3744,0,0
2014-02-21,1.3722,1.3722,1.3722,1.3722,0,0
2014-02-20,1.369,1.369,1.369,1.369,0,0
2014-02-19,1.3762,1.3762,1.3762,1.3762,0,0
2014-02-18,1.3758,1.3758,1.3758,1.3758,0,0
2014-02-14,1.369,1.369,1.369,1.369,0,0
2014-02-13,1.3669,1.3669,1.3669,1.3669,0,0
2014-02-12,1.3592,1.3592,1.3592,1.3592,0,0
2014-02-11,1.3654,1.3654,1.3654,1.3654,0,0
2014-02-10,1.3644,1.3644,1.3644,1.3644,0,0
2014-02-07,1.3614,1.3614,1.3614,1.3614,0,0
2014-02-06,1.3604,1.3604,1.3604,1.3604,0,0
2014-02-05,1.3519,1.3519,1.3519,1.3519,0,0
2014-02-04,1.3507,1.3507,1.3507,1.3507,0,0
2014-02-03,1.3523,1.3523,1.3523,1.3523,0,0
2014-01-31,1.35,1.35,1.35,1.35,0,0
2014-01-30,1.3549,1.3549,1.3549,1.3549,0,0
2014-01-29,1.3663,1.3663,1.3663,1.3663,0,0
2014-01-28,1.3662,1.3662,1.3662,1.3662,0,0
2014-01-24,1.368,1.368,1.368,1.368,0,0
2014-01-23,1.368,1.368,1.368,1.368,0,0
2014-01-22,1.3546,1.3546,1.3546,1.3546,0,0
2014-01-21,1.356,1.356,1.356,1.356,0,0
2014-01-17,1.3554,1.3554,1.3554,1.3554,0,0
2014-01-16,1.36,1.36,1.36,1.36,0,0
2014-01-15,1.3604,1.3604,1.3604,1.3604,0,0
2014-01-14,1.3682,1.3682,1.3682,1.3682,0,0
2014-01-13,1.3647,1.3647,1.3647,1.3647,0,0
